state,Less than 9th,Less than 12th,High school graduate,Some college,Associate's Degree,Bachelor's or higher
ALABAMA,4.00,9.10,30.30,21.60,8.70,26.20
ALASKA,2.40,4.50,28.40,26.00,8.70,30.00
ARIZONA,5.10,7.00,23.80,24.90,8.90,30.30
ARKANSAS,4.70,8.10,33.90,22.00,7.50,23.80
CALIFORNIA,8.90,7.20,20.40,20.90,8.00,34.70
COLORADO,3.30,4.60,21.20,20.80,8.50,41.60
CONNECTICUT,4.00,5.10,26.30,16.80,7.80,40.00
DELAWARE,3.30,6.10,31.00,18.90,8.00,32.70
DISTRICT OF COLUMBIA,3.30,4.80,16.60,12.60,2.90,59.80
FLORIDA,4.60,6.90,28.20,19.80,10.00,30.50
GEORGIA,4.50,7.70,27.50,20.20,8.00,32.20
HAWAII,3.50,4.10,27.30,20.80,10.90,33.60
IDAHO,3.10,5.60,26.70,26.10,9.80,28.70
ILLINOIS,4.60,5.70,25.60,20.40,8.10,35.50
INDIANA,3.60,7.10,33.20,20.10,8.90,27.20
IOWA,2.90,4.60,30.80,20.60,11.80,29.30
KANSAS,3.50,5.20,25.80,22.80,8.80,33.90
KENTUCKY,5.00,7.80,32.60,20.90,8.60,25.00
LOUISIANA,4.70,9.50,33.30,21.20,6.50,24.90
MAINE,2.30,4.50,31.30,19.20,10.20,32.50
MARYLAND,3.90,5.60,24.20,18.70,6.80,40.90
MASSACHUSETTS,4.20,4.70,23.50,15.30,7.70,44.50
MICHIGAN,2.70,6.00,28.50,23.20,9.60,30.00
MINNESOTA,2.80,3.90,24.20,20.80,11.60,36.80
MISSISSIPPI,4.70,10.00,30.10,22.20,10.20,22.80
MISSOURI,2.90,6.50,30.50,22.00,8.10,29.90
MONTANA,1.70,4.30,28.10,23.30,9.40,33.10
NEBRASKA,3.80,4.60,25.70,22.70,10.70,32.50
NEVADA,5.30,7.70,27.90,25.10,8.40,25.50
NEW HAMPSHIRE,2.20,4.50,27.30,18.00,10.40,37.60
NEW JERSEY,4.70,5.10,26.70,16.10,6.60,40.70
NEW MEXICO,5.60,7.90,26.20,23.40,8.80,28.10
NEW YORK,6.00,6.80,25.50,15.50,8.90,37.50
NORTH CAROLINA,4.30,7.20,25.50,21.10,9.90,32.00
NORTH DAKOTA,2.70,4.20,26.10,22.20,14.10,30.70
OHIO,2.70,6.50,32.80,20.30,8.80,28.90
OKLAHOMA,3.90,7.60,31.10,23.10,8.20,26.10
OREGON,3.40,5.40,22.70,25.00,9.00,34.40
PENNSYLVANIA,3.10,5.90,34.20,15.90,8.60,32.30
RHODE ISLAND,4.70,6.10,28.00,18.00,8.20,35.00
SOUTH CAROLINA,3.70,8.00,28.90,20.60,9.90,29.00
SOUTH DAKOTA,2.80,5.00,30.20,21.10,11.60,29.30
TENNESSEE,4.20,7.60,31.80,20.70,7.50,28.20
TEXAS,7.80,7.80,24.70,21.50,7.40,30.70
UTAH,2.40,4.60,22.80,25.50,10.00,34.70
VERMONT,2.00,4.50,28.30,16.70,8.80,39.70
VIRGINIA,3.90,5.80,23.90,19.10,7.90,39.50
WASHINGTON,3.50,4.80,21.80,23.10,10.10,36.70
WEST VIRGINIA,4.10,8.30,40.00,18.70,7.60,21.30
WISCONSIN,2.50,4.90,30.30,20.50,11.00,30.80
WYOMING,1.80,4.60,28.60,25.40,11.40,28.20
PUERTO RICO,14.60,7.90,28.10,12.10,10.70,26.70
